Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	contig N50 (bp)	scaffold N50 (bp)
Macrotus californicus	California big-eared bat	9419	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Macrotus	HLmacCal1	GCA_007922815.1	16386	16925
Madoqua kirkii	Kirk's dik-dik	66434	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Madoqua	HLmadKir1	GCA_006408675.1	27722	27730
Mandrillus leucophaeus	drill	9568	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus	manLeu1	GCF_000951045.1	31346	3186748
Mandrillus sphinx	mandrill	9561	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus	HLmanSph1	GCA_004802615.1	21683	3577924
Mandrillus sphinx	mandrill	9561	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus	HLmanSph2	DNA Zoo Consortium	20976	149088477
Manis javanica	Malayan pangolin	9974	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanJav1	GCA_001685135.1	38922	204728
Manis javanica	Malayan pangolin	9974	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanJav2	GCA_014570535.1	83964	13854118
Manis pentadactyla	Chinese pangolin	143292	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanPen2	GCA_014570555.1	151937	7836868
Manis pentadactyla	Chinese pangolin	143292	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	manPen1	GCA_000738955.1	28718	117920
Manis tricuspis	Tree pangolin	358128	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanTri1	GCA_004765945.1	23755	25241
Marmota flaviventris	yellow-bellied marmot	93162	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarFla1	GCA_003676075.2	143681	11407078
Marmota himalayana	Himalayan marmot	93163	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarHim1	GCA_005280165.1	102162	1497034
Marmota marmota marmota	Alpine marmot	9994	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota; Marmota marmota	HLmarMar1	GCF_001458135.1	66492	31340621
Marmota monax	woodchuck	9995	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarMon1	GCA_901343595.1	189547	892188
Marmota monax	woodchuck	9995	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarMon2	GCA_014533835.1	1094236	1094236
Marmota vancouverensis	Vancouver marmot	93167	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarVan1	GCA_005458795.1	11502	1590947
Martes zibellina	sable	36722	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Martinae; Martes	HLmarZib1	GCA_012583365.1	62196	5199373
Mastacomys fuscus	broad-toothed rat	337222	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mastacomys	HLmasFus1	DNA Zoo Consortium	371229	104439433
Mastomys coucha	southern multimammate mouse	35658	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mastomys	HLmasCou1	GCA_008632895.1	30483	118621203
Megaderma lyra	Indian false vampire	9413	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Megadermatidae; Megaderma	HLmegLyr2	GCA_004026885.1	71674	96489
Megaptera novaeangliae	humpback whale	9773	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Megaptera	HLmegNov1	GCA_004329385.1	12321	9138802
Megaptera novaeangliae	humpback whale	9773	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Megaptera	HLmegNov2	DNA Zoo Consortium	55183	94294397
Mellivora capensis	ratel	9664	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mellivoriane; Mellivora	HLmelCap1	GCA_004024625.1	50213	59143
Meriones unguiculatus	Mongolian gerbil	10047	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Meriones	HLmerUng1	GCA_002204375.1	46546	374687
Mesocricetus auratus	golden hamster	10036	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus	HLmesAur2	DNA Zoo Consortium	17140	114151861
Mesocricetus auratus	golden hamster	10036	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus	mesAur1	GCF_000349665.1	22511	12753307
Mesoplodon bidens	Sowerby's beaked whale	48745	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesBid1	GCA_004027085.1	28959	33532
Mesoplodon densirostris	Blainville's beaked whale	48708	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesDen1	DNA Zoo Consortium	30937	88062146
Mesoplodon europaeus	Gervais' beaked whale	27616	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesEur1	DNA Zoo Consortium	44561	90973712
Mesoplodon stejnegeri	Stejneger's beaked whale	52114	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesSte1	DNA Zoo Consortium	31904	89064517
Microcebus murinus	gray mouse lemur	30608	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	micMur3	GCF_000165445.2	210702	108171978
Microcebus sp. 3 GT-2019	unclassified mouse lemur	2508170	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus; unclassified Microcebus	HLmicSpe31	GCA_008750915.1	38130	38968
Microcebus tavaratra	Northern rufous mouse lemur	143351	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	HLmicTav1	GCA_008750935.1	29527	30039
Microgale talazaci	Talazac's shrew tenrec	176115	Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Oryzorictinae; Microgale	HLmicTal1	GCA_004026705.1	56946	65143
Micronycteris hirsuta	hairy big-eared bat	148065	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Micronycteris	HLmicHir1	GCA_004026765.1	62961	68868
Microtus agrestis	short-tailed field vole	29092	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicAgr2	GCA_902806775.1	2938971	2938971
Microtus arvalis	Common vole	47230	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicArv1	GCA_007455615.1	34797	52876
Microtus fortis	reed vole	100897	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicFor1	GCA_014885135.1	90682	9992017
Microtus ochrogaster	prairie vole	79684	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	micOch1	GCF_000317375.1	21250	17270019
Microtus oeconomus	root vole	64717	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicOec1	GCA_007455595.1	51221	114768
Miniopterus natalensis	Natal long-fingered bat	291302	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Miniopterinae; Miniopterus	HLminNat1	GCA_001595765.1	29777	4315193
Miniopterus schreibersii	Schreibers' long-fingered bat	9433	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Miniopterinae; Miniopterus	HLminSch1	GCA_004026525.1	82539	108707
Mirounga angustirostris	Northern elephant seal	9716	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Mirounga	HLmirAng2	DNA Zoo Consortium	75715	139676048
Mirounga leonina	Southern elephant seal	9715	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Mirounga	HLmirLeo1	GCA_011800145.1	197908	54232831
Mirza coquereli	Coquerel's mouse lemur	47180	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Mirza	HLmirCoq1	GCA_004024645.1	60596	79947
Mirza zaza	Northern giant mouse lemur	339999	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Mirza	HLmirZaz1	GCA_008750895.1	73499	75843
Molossus molossus	Pallas's mastiff bat	27622	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Molossidae; Molossus	HLmolMol2	Bat1K published	21658165	110665204
Monodelphis domestica	gray short-tailed opossum	13616	Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Monodelphis	monDom5	GCF_000002295.2	108014	59809810
Monodon monoceros	narwhal	40151	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Monodon	HLmonMon1	GCA_005190385.2	255327	107566389
Mormoops blainvillei	Antillean ghost-faced bat	118852	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Mormoopidae; Mormoops	HLmorBla1	GCA_004026545.1	142682	156292
Moschus berezovskii	Chinese forest musk deer	68408	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus	HLmosBer1	GCA_006459085.1	57706	2509225
Moschus chrysogaster	alpine musk deer	68412	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus	HLmosChr1	GCA_006461725.1	3769	100428
Moschus moschiferus	Siberian musk deer	68415	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus	HLmosMos1	GCA_004024705.2	34785	11728851
Mungos mungo	banded mongoose	210652	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Mungos	HLmunMug1	GCA_004023785.1	180702	236501
Muntiacus crinifrons	black muntjac	71854	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	HLmunCri1	GCA_006408485.1	8265	1305444
Muntiacus muntjak	muntjak	9888	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	HLmunMun1	GCA_008782695.1	215534	682452208
Muntiacus reevesi	Reeves' muntjac	9886	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	HLmunRee1	GCA_008787405.1	225142	94101870
Murina aurata feae	Little tube-nosed bat	1453894	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Murina; Murina aurata	HLmurAurFea1	GCA_004026665.1	23400	26051
Mus caroli	Ryukyu mouse	10089	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	HLmusCar1	GCA_900094665.2	30916	122627250
Mus musculus	house mouse	10090	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	mm10	GCF_000001635.20	32273079	52589046
Mus musculus	house mouse	10090	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	mm39	GCF_000001635.27	59462871	106145001
Mus pahari	shrew mouse	10093	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Coelomys	HLmusPah1	GCA_900095145.2	29465	111406228
Mus spicilegus	steppe mouse	10103	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	HLmusSpi1	GCA_003336285.1	30918	2198966
Mus spretus	western wild mouse	10096	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	HLmusSpr1	GCA_001624865.1	17887	131945496
Muscardinus avellanarius	hazel dormouse	39082	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Muscardinus	HLmusAve1	GCA_004027005.1	44294	59013
Mustela erminea	ermine	36723	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela	HLmusErm1	GCA_009829155.1	36329944	130149454
Mustela putorius	European polecat	9668	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela	HLmusPut1	GCA_902460205.1	5344676	14727874
Mustela putorius furo	domestic ferret	9669	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela; Mustela putorius	HLmusFur2	GCA_011764305.1	23598655	23598655
Myocastor coypus	nutria	10157	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Myocastoridae; Myocastor	HLmyoCoy1	GCA_004027025.1	28446	35982
Myodes glareolus	Bank vole	447135	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Myodes	HLmyoGla2	GCA_902806735.1	74950	20649317
Myotis brandtii	Brandts myotis bat	109478	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	myoBra1	GCF_000412655.1	23289	3225832
Myotis davidii	Davids myotis bat	225400	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	myoDav1	GCF_000327345.1	15182	3454484
Myotis lucifugus	little brown bat	59463	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	HLmyoLuc1	DNA Zoo Consortium	61531	95464383
Myotis lucifugus	little brown bat	59463	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	myoLuc2	GCF_000147115.1	64330	4293315
Myotis myotis	Greater mouse-eared bat	51298	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	HLmyoMyo6	Bat1K published	11795106	94448911
Myotis septentrionalis	Northern long-eared myotis	258941	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	HLmyoSep1	DNA Zoo Consortium	205441	96689946
Myrmecophaga tridactyla	giant anteater	71006	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Vermilingua; Myrmecophagidae; Myrmecophaga	HLmyrTri1	GCA_004026745.1	36434	41255
Nanger granti	Grant's gazelle	27591	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Nanger	HLnanGra1	GCA_006408635.1	7454	528456
Nannospalax galili	Upper Galilee mountains blind mole rat	1026970	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Spalacinae; Nannospalax	nanGal1	GCF_000622305.1	30353	3618479
Nasalis larvatus	proboscis monkey	43780	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Nasalis	nasLar1	GCA_000772465.1	13295	137426304
Nasua narica	White-nosed coati	352831	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Nasua	HLnasNar1	DNA Zoo Consortium	64078	119764535
Neofelis nebulosa	Clouded leopard	61452	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Neofelis	HLneoNeb1	DNA Zoo Consortium	76067	147111411
Neomonachus schauinslandi	Hawaiian monk seal	29088	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Neomonachus	neoSch1	GCF_002201575.1	112698	29518589
Neophocaena asiaeorientalis asiaeorientalis	Yangtze finless porpoise	1706337	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Neophocaena; Neophocaena asiaeorientalis	HLneoAsi1	GCA_003031525.1	86003	6341296
Neotoma lepida	desert woodrat	56216	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Neotoma	HLneoLep1	GCA_001675575.1	9584	151693
Neotragus moschatus	suni	66442	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus	HLneoMos1	GCA_006410615.1	59277	952090
Neotragus pygmaeus	royal antelope	1027985	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus	HLneoPyg1	GCA_006410875.1	30751	363895
Neovison vison	American mink	452646	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Neovison	HLneoVis1	GCA_900108605.1	32336	6814223
Noctilio leporinus	greater bulldog bat	94963	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Noctilionidae; Noctilio	HLnocLep1	GCA_004026585.1	135651	191494
Nomascus leucogenys	northern white-cheeked gibbon	61853	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus	HLnomLeu4	GCA_006542625.1	12782853	35886894
Notamacropus eugenii	tammar wallaby	9315	Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Notamacropus	HLnotEug3	DNA Zoo Consortium	42320	387072473
Nycticebus coucang	slow loris	9470	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Lorisidae; Nycticebus	HLnycCou1	GCA_004027815.1	17693	19724
Nycticeius humeralis	evening bat	27670	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Nycticeius	HLnycHum2	GCA_007922795.1	14267	15095
Ochotona princeps	American pika	9978	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Ochotonidae; Ochotona	ochPri3	GCF_000292845.1	42347	26863993
Octodon degus	degu	10160	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Octodontidae; Octodon	octDeg1	GCF_000260255.1	19847	12091372
Odobenus rosmarus	walrus	9707	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Odobenidae; Odobenus	HLodoRos1	DNA Zoo Consortium	85053	154349455
Odobenus rosmarus divergens	Pacific walrus	9708	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Odobenidae; Odobenus; Odobenus rosmarus	odoRosDiv1	GCF_000321225.1	89951	2616778
Odocoileus hemionus hemionus	mule deer	9877	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus; Odocoileus hemionus	HLodoHem1	GCA_004115125.1	113295	838758
Odocoileus virginianus	white-tailed deer	9874	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus	HLodoVir2	DNA Zoo Consortium	114510	69881861
Odocoileus virginianus	white-tailed deer	9874	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus	HLodoVir3	GCA_014726795.1	5999512	17102683
Odocoileus virginianus texanus	white-tailed deer	9880	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus; Odocoileus virginianus	HLodoVir1	GCA_002102435.1	122019	850721
Okapia johnstoni	okapi	86973	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Okapia	HLokaJoh2	DNA Zoo Consortium	36462	97427823
Ondatra zibethicus	muskrat	10060	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ondatra	HLondZib1	GCA_004026605.1	73746	89093
Onychomys torridus	southern grasshopper mouse	38674	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	HLonyTor1	GCA_903995425.1	2276141	112723509
Orcinus orca	killer whale	9733	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Orcinus	HLorcOrc2	DNA Zoo Consortium	66136	110405485
Oreamnos americanus	mountain goat	34873	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Oreamnos	HLoreAme1	GCA_009758055.1	24510	66616962
Oreotragus oreotragus	klipspringer	66444	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Oreotragus	HLoreOre1	GCA_006410675.1	42127	339390
Ornithorhynchus anatinus	platypus	9258	Mammalia; Prototheria; Monotremata; Ornithorhynchidae; Ornithorhynchus	HLornAna3	GCA_004115215.1	15146802	83338043
Ornithorhynchus anatinus	platypus	9258	Mammalia; Prototheria; Monotremata; Ornithorhynchidae; Ornithorhynchus	HLornAna4	GCF_004115215.2	15146802	83338043
Orycteropus afer afer	aardvark	1230840	Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer	HLoryAfeAfe2	DNA Zoo Consortium	11933	644001617
Orycteropus afer afer	aardvark	1230840	Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer	oryAfe1	GCF_000298275.1	17683	7875832
Oryctolagus cuniculus	rabbit	9986	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus	HLoryCun3	GCA_009806435.1	506821	506821
Oryctolagus cuniculus	rabbit	9986	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus	oryCun2	GCF_000003625.2	64648	35972871
Oryctolagus cuniculus cuniculus	rabbit	568996	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus; Oryctolagus cuniculus	HLoryCunCun4	GCA_013371645.1	1879078	140390130
Oryx dammah	scimitar-horned oryx	59534	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Oryx	HLoryDam1	DNA Zoo Consortium	369170	100398400
Oryx gazella	gemsbok	9958	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Oryx	HLoryGaz1	GCA_003945745.1	19498	1579191
Osphranter rufus	red kangaroo	9321	Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Osphranter	HLospRuf1	DNA Zoo Consortium	31685	238280994
Otolemur garnettii	small-eared galago	30611	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Galagidae; Otolemur	otoGar3	GCF_000181295.1	27100	13852661
Ovis ammon	argali	30527	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviAmm1	GCA_003121645.1	151569	72289505
Ovis aries	sheep	9940	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviAri5	GCA_011170295.1	8699377	103700880
