gene,avg cluster stat sig,most stat sig cluster,#species in most sig cluster,least stat sig cluster,avg # species per cluster
IRAK1,0.372,0.1339,41,0.4945,63.2
NR1I2,0.412,0.3293,94,0.4784,131.0
OTX2,0.471,0.4442,11,0.4973,110.0
SCRT2,0.453,0.3882,13,0.4858,54.25
ZNF256,0.422,0.4198,190,0.4251,176.5
ZCCHC18,0.297,0.1258,40,0.4463,68.2
ZNF248,0.464,0.4324,84,0.4947,141.0
PPARA,0.35,0.25,30,0.4812,51.2
KDM6B,0.432,0.4125,35,0.4696,71.66666666666667
HDAC10,0.339,0.2928,103,0.3843,125.5
MBD3L1,0.426,0.384,110,0.4687,121.5
TRIP6,0.382,0.2793,23,0.4317,59.2
CUL1,0.484,0.4726,51,0.4945,126.5
MKRN3,0.363,0.2961,86,0.4291,114.0
PLAGL2,0.309,0.2621,20,0.3751,82.0
ZNF543,0.449,0.387,97,0.4957,91.0
AURKAIP1,0.358,0.2323,33,0.4226,65.25
HAT1,0.437,0.377,39,0.4973,116.5
STON1,0.302,0.1227,46,0.4579,82.66666666666667
BUD23,0.47,0.4689,180,0.4717,192.5
ZNF609,0.257,0.0138,1,0.5,104.5
FOXN4,0.458,0.4236,73,0.4835,84.33333333333333
STAG1,0.306,0.0222,1,0.4843,53.0
IL31RA,0.382,0.2648,114,0.4649,110.33333333333333
ZNF77,0.5,0.5,153,0.5,108.0
SF3A2,0.408,0.3944,65,0.4207,106.0
ZNF69,0.415,0.3692,115,0.4601,118.0
LCOR,0.467,0.4164,175,0.4946,200.0
NACC1,0.271,0.125,36,0.4226,60.75
RALGAPA1,0.403,0.3911,61,0.4251,109.66666666666667
POU2F2,0.487,0.4739,67,0.5,128.0
CUL4A,0.444,0.3836,111,0.4959,117.75
KLHL21,0.445,0.3912,43,0.4986,116.0
ZBTB43,0.322,0.0135,1,0.445,64.75
MNT,0.339,0.055,34,0.4973,58.0
ZXDC,0.301,0.1771,57,0.4424,43.0
HIC1,0.388,0.2661,66,0.4943,61.5
HMGA2,0.407,0.3968,188,0.4182,180.33333333333334
EAF1,0.36,0.0316,26,0.4973,66.5
GSX1,0.337,0.2802,40,0.3798,61.75
LHX3,0.446,0.4198,156,0.4731,172.5
DNMT3B,0.34,0.1772,38,0.4753,84.33333333333333
TET1,0.279,0.1558,62,0.4022,105.5
TOB1,0.352,0.2611,47,0.4849,68.5
TRIM29,0.344,0.1558,51,0.4439,56.2
ZNF407,0.313,0.1494,6,0.5,7.6
RRN3,0.323,0.0215,2,0.4872,66.25
CDK5RAP3,0.384,0.3733,131,0.4002,126.33333333333333
ZNF419,0.449,0.4067,201,0.4946,187.0
ATOH1,0.305,0.1358,48,0.4211,66.0
ZNF860,0.334,0.1676,4,0.5,4.5
ZDHHC11,0.325,0.25,9,0.4738,15.333333333333334
CCDC85B,0.456,0.4367,138,0.4749,117.0
ASCC1,0.452,0.368,87,0.4946,147.0
ZBED4,0.25,0.051,21,0.4571,41.2
ZNF90,0.325,0.0932,1,0.464,48.5
WNT4,0.495,0.4906,84,0.5,124.5
NSD2,0.35,0.1267,43,0.5,66.75
ZNF500,0.326,0.2145,31,0.4384,81.0
HOXD11,0.435,0.368,25,0.4892,54.25
ZIC2,0.49,0.4805,39,0.5,105.5
PCGF5,0.49,0.4798,26,0.5,112.0
ZNF34,0.446,0.4025,157,0.4902,119.5
EED,0.47,0.4263,81,0.5,156.66666666666666
ZNF654,0.357,0.2457,78,0.4225,85.33333333333333
SCX,0.313,0.1584,31,0.5,54.5
HLTF,0.358,0.2675,77,0.4067,85.66666666666667
ZNF141,0.322,0.036,1,0.494,60.75
MED30,0.431,0.3436,13,0.478,126.33333333333333
ZNF215,0.495,0.491,18,0.4985,92.0
HOXB3,0.46,0.425,40,0.4986,103.66666666666667
JADE1,0.376,0.1607,51,0.4879,115.25
KDM2A,0.462,0.427,24,0.4973,110.5
CDY2A,0.25,0.0001,9,0.5,11.0
CTNNB1,0.32,0.1502,56,0.4973,97.2
PGR,0.412,0.4041,161,0.4198,117.0
DMRTA2,0.399,0.3013,59,0.4868,73.0
RGS9,0.431,0.368,80,0.4731,65.2
RFX4,0.473,0.4485,86,0.4973,141.0
ZKSCAN5,0.278,0.0231,1,0.4771,58.5
CREB3L4,0.339,0.2291,74,0.4731,70.75
ZNF184,0.352,0.2241,74,0.4215,52.8
PAXIP1,0.384,0.3184,60,0.4437,64.25
SGK1,0.476,0.4453,151,0.4904,156.5
GLI4,0.351,0.2405,70,0.4758,59.25
PCBD2,0.436,0.3833,41,0.4839,67.0
PREB,0.443,0.4182,108,0.5,92.5
RBMX,0.292,0.0504,1,0.4955,58.5
KLHL40,0.38,0.3348,84,0.4398,87.66666666666667
ZBTB22,0.337,0.3332,93,0.3408,112.0
ZNF732,0.314,0.0291,1,0.4954,66.25
NPM3,0.366,0.2775,44,0.4892,56.4
ZNF691,0.369,0.214,75,0.5,130.66666666666666
FOXF2,0.354,0.2128,27,0.4855,51.5
ARRB2,0.475,0.4589,53,0.4945,143.0
INF2,0.483,0.4704,98,0.4963,113.0
STAT6,0.367,0.3248,129,0.4101,154.5
CREB3,0.327,0.1193,34,0.4932,57.6
E2F7,0.356,0.2719,114,0.4146,94.5
DTX2,0.359,0.3503,124,0.368,142.5
TRIM48,0.383,0.2526,31,0.487,91.0
TRIM56,0.344,0.2055,53,0.433,79.33333333333333
MLXIPL,0.489,0.4789,35,0.5,109.0
PTEN,0.401,0.3216,29,0.481,112.5
NAB2,0.472,0.4581,58,0.4855,123.5
KLF1,0.282,0.1486,64,0.4157,114.0
BRCA2,0.351,0.1567,58,0.4863,78.33333333333333
CDR2L,0.474,0.4527,43,0.4944,115.0
CHAF1B,0.453,0.4106,38,0.4946,83.66666666666667
UCHL5,0.465,0.4398,202,0.4904,199.0
PAGE4,0.33,0.0123,1,0.4744,84.0
ZNF561,0.462,0.3747,167,0.5,99.0
CITED4,0.279,0.1363,48,0.4212,98.5
SOX2,0.366,0.2605,47,0.4711,106.0
BTBD1,0.393,0.315,73,0.4507,77.0
SRFBP1,0.341,0.1057,28,0.4802,65.5
RGS20,0.411,0.3413,126,0.4973,117.25
AKAP8L,0.414,0.3902,53,0.4236,113.0
SGSM2,0.449,0.4005,44,0.4973,119.5
SENP1,0.324,0.2266,79,0.4209,123.5
ZNF274,0.292,0.1363,47,0.4639,65.75
CNOT1,0.494,0.4847,18,0.4986,82.33333333333333
S100A8,0.357,0.2248,34,0.4638,84.0
PIH1D1,0.369,0.2747,53,0.463,116.5
ANP32A,0.312,0.1196,32,0.4225,80.33333333333333
MST1R,0.379,0.3174,22,0.4398,66.5
PXN,0.45,0.4102,164,0.4973,146.75
CREBBP,0.325,0.2375,88,0.397,80.0
CHRAC1,0.479,0.4589,65,0.5,115.5
NKX3-2,0.496,0.4918,59,0.5,107.5
RXRA,0.355,0.1382,44,0.4814,77.5
TLE7,0.342,0.2656,81,0.4182,111.5
TCF4,0.468,0.4357,185,0.5,194.5
EMSY,0.49,0.4808,34,0.5,119.5
ZNF771,0.414,0.3521,49,0.4757,117.0
ELL,0.346,0.3138,118,0.3784,120.5
FOXB1,0.362,0.1252,40,0.4671,67.25
ZNF598,0.37,0.2617,86,0.4366,76.0
ZNF425,0.331,0.0305,1,0.4851,34.5
PAX2,0.438,0.3952,105,0.481,148.0
TRIM15,0.385,0.2619,61,0.4729,81.75
ZNF586,0.421,0.3748,166,0.4664,171.5
DNMT1,0.47,0.4474,65,0.4917,121.5
TAF10,0.49,0.489,21,0.4918,101.0
LMO2,0.5,0.5,203,0.5,199.5
MYEF2,0.361,0.13,44,0.5,115.0
VDR,0.352,0.2301,105,0.4785,108.25
VPS36,0.48,0.4639,77,0.4971,137.5
SMYD5,0.499,0.4973,18,0.5,110.0
PKN2,0.48,0.4597,31,0.5,117.0
DBX1,0.325,0.1358,38,0.433,52.4
ZNF280A,0.323,0.2588,16,0.4035,38.0
SRC,0.463,0.441,29,0.4852,111.5
AGAP2,0.461,0.3898,49,0.4971,140.33333333333334
PSMD11,0.429,0.3628,34,0.4945,118.0
ZFPM2,0.422,0.3474,49,0.4973,124.0
RBM26,0.333,0.0154,1,0.5,50.4
ERN1,0.444,0.4048,87,0.4835,135.5
MED9,0.354,0.1378,52,0.4913,63.75
HNF1A,0.393,0.3125,79,0.4726,134.0
HSF2BP,0.462,0.429,39,0.4945,110.5
ZMYND11,0.498,0.496,170,0.5,186.0
ZNF394,0.452,0.3911,146,0.5,117.0
RBPMS,0.415,0.2719,53,0.5,112.5
ZNF229,0.33,0.0887,7,0.5,32.25
RLIM,0.291,0.113,7,0.4987,63.25
THAP9,0.407,0.3319,19,0.4821,91.0
MED12,0.448,0.4128,48,0.4835,113.5
ZNF587B,0.398,0.38,153,0.4155,143.5
TTLL4,0.37,0.2379,86,0.4444,83.25
ZNF668,0.291,0.0138,1,0.4398,123.33333333333333
AGO1,0.369,0.2414,19,0.4973,113.5
POU5F1B,0.326,0.2291,1,0.5,1.3333333333333333
TRIM6,0.45,0.368,76,0.5,134.25
ZNF676,0.429,0.3112,70,0.5,120.75
DDB2,0.412,0.3439,64,0.481,122.5
CARF,0.391,0.3088,66,0.4731,126.5
ZNF16,0.389,0.2512,23,0.5,53.2
SP7,0.287,0.1591,66,0.4142,117.0
NKX2-5,0.271,0.1262,42,0.4164,104.0
ZSCAN20,0.362,0.1309,40,0.4973,54.6
MBD2,0.461,0.4099,52,0.4915,61.333333333333336
NR4A1,0.43,0.4251,178,0.4357,175.5
TSC22D3,0.416,0.3398,38,0.4726,139.6
MAD2L2,0.406,0.3915,123,0.4209,164.0
HSPH1,0.443,0.3915,51,0.4945,127.0
NDN,0.326,0.1124,29,0.4717,50.0
HES5,0.446,0.3998,42,0.4917,106.0
PELI1,0.307,0.1347,35,0.4389,79.0
STAT5B,0.488,0.4744,59,0.5,82.33333333333333
CNOT8,0.307,0.2169,80,0.4197,93.0
CNPY3,0.382,0.1782,66,0.4822,68.75
ZNF263,0.378,0.2716,70,0.4444,81.33333333333333
RIPK3,0.349,0.131,21,0.4338,56.5
S100A1,0.46,0.4297,65,0.5,110.75
MSANTD4,0.388,0.3793,97,0.3973,123.0
IRF2BP2,0.258,0.0923,23,0.3863,64.0
NCALD,0.421,0.368,123,0.5,119.33333333333333
WWOX,0.405,0.2878,92,0.4987,126.75
VAX2,0.361,0.2704,14,0.4539,75.66666666666667
PSMC5,0.412,0.2758,65,0.4671,73.75
ZNF622,0.407,0.3077,54,0.5,84.66666666666667
EXOSC9,0.48,0.4756,201,0.4837,201.0
ARID3B,0.32,0.1534,55,0.4946,54.2
VENTX,0.382,0.3172,29,0.4704,39.75
FOXM1,0.447,0.3551,121,0.489,112.75
KLF8,0.414,0.3667,51,0.492,61.75
ZNF781,0.496,0.4925,147,0.5,154.5
BHLHB9,0.376,0.2762,68,0.4279,65.25
TGFB1I1,0.384,0.2387,81,0.4914,73.0
TBX6,0.435,0.4119,34,0.4517,130.33333333333334
ZNF576,0.311,0.1488,18,0.4731,99.5
NME2,0.334,0.2701,58,0.478,63.25
METTL3,0.429,0.3616,24,0.4959,116.0
NEDD8,0.472,0.4646,94,0.4802,125.5
ZNF568,0.458,0.3553,156,0.5,144.0
RAPGEF5,0.396,0.25,67,0.4731,98.2
TAF3,0.381,0.0591,36,0.4973,58.0
ZNF808,0.424,0.3724,110,0.4753,100.5
BOLA3,0.452,0.4261,93,0.4769,138.0
EHF,0.485,0.4698,106,0.5,155.5
PBX2,0.455,0.427,59,0.4837,119.5
ZNF816,0.449,0.4429,106,0.4543,134.0
TRRAP,0.48,0.4644,101,0.4959,131.0
CENPBD1,0.449,0.4048,30,0.4776,48.25
TFEB,0.441,0.4357,174,0.4463,171.5
ING5,0.472,0.4561,160,0.4878,136.0
TRIM41,0.396,0.3351,87,0.4816,105.0
ARGLU1,0.183,0.0127,3,0.4138,69.0
ZFP57,0.25,0.116,36,0.4577,78.33333333333333
ZNF471,0.443,0.4143,52,0.4712,110.5
BRF2,0.342,0.2933,45,0.4425,57.4
RING1,0.322,0.1405,21,0.4908,52.8
FHOD1,0.468,0.441,47,0.4946,122.0
MAFF,0.302,0.1905,64,0.4136,106.0
TAX1BP1,0.483,0.4661,54,0.5,123.5
HEY1,0.292,0.1415,60,0.4425,122.5
ATMIN,0.346,0.1358,50,0.4384,107.75
HEATR1,0.5,0.5,50,0.5,118.5
MLIP,0.47,0.4357,79,0.4879,151.66666666666666
PID1,0.447,0.4364,188,0.4566,198.0
TCFL5,0.478,0.4756,161,0.4796,157.0
H1-5,0.364,0.3088,61,0.4198,96.0
FOXI2,0.369,0.1901,63,0.4589,61.0
PNRC2,0.497,0.4959,161,0.4986,119.5
KLF17,0.329,0.207,60,0.4066,79.66666666666667
ZSCAN29,0.329,0.2317,66,0.413,75.33333333333333
IKZF2,0.447,0.3968,24,0.4973,115.5
ZNF488,0.38,0.368,125,0.3915,155.0
ZNF496,0.325,0.1134,36,0.4863,50.6
SNAPC1,0.303,0.1109,24,0.4835,66.5
TSPYL2,0.271,0.195,44,0.424,73.0
PCBP3,0.477,0.4534,46,0.5,115.0
ZNF383,0.462,0.3713,181,0.5,99.5
HOXA6,0.312,0.1114,26,0.4945,64.0
EN1,0.464,0.4373,73,0.4906,95.5
RUNX1,0.373,0.2742,13,0.4357,74.25
SIM1,0.315,0.2053,59,0.4251,118.5
PRDM4,0.309,0.1349,44,0.4164,60.25
ZNF174,0.422,0.3222,19,0.4759,79.0
MACF1,0.278,0.0133,2,0.4945,75.66666666666667
PPP3CA,0.455,0.4251,46,0.5,100.66666666666667
CENPJ,0.333,0.2844,94,0.382,109.0
ZNF284,0.499,0.4971,124,0.5,109.33333333333333
EMX2,0.392,0.1574,30,0.492,61.75
CCDC71,0.318,0.0977,25,0.4756,54.8
KLHL14,0.436,0.4172,58,0.449,73.66666666666667
ALX1,0.457,0.4164,18,0.4973,113.0
WWP2,0.469,0.4404,47,0.4973,125.0
CSRP2,0.382,0.2862,109,0.4521,148.33333333333334
SUPT5H,0.299,0.1393,57,0.39,79.0
ARNT,0.419,0.3539,53,0.4837,123.5
ZBTB4,0.314,0.1771,2,0.4932,51.8
ZNF778,0.297,0.0507,1,0.4286,71.33333333333333
AIM2,0.461,0.4345,13,0.4872,47.5
NOD2,0.342,0.2971,112,0.3859,132.5
CCNQ,0.477,0.4537,44,0.5,102.0
ZNF766,0.5,0.5,162,0.5,157.0
GMCL1,0.493,0.4865,54,0.5,117.0
ZFP14,0.45,0.3359,35,0.5,86.2
NFE2L2,0.292,0.1608,88,0.423,131.5
ZNF432,0.498,0.496,170,0.5,138.5
STOX2,0.44,0.3889,47,0.4918,116.5
PRRX1,0.453,0.3926,40,0.4971,136.33333333333334
BHLHE22,0.348,0.151,39,0.5,71.33333333333333
TIGD1,0.267,0.0336,1,0.5,18.5
WTIP,0.307,0.2167,48,0.3974,85.5
SERTAD1,0.308,0.115,25,0.4119,51.4
ATXN3L,0.295,0.2441,20,0.3456,16.5
HIF1AN,0.484,0.4677,16,0.5,113.0
CARM1,0.486,0.478,93,0.4945,128.0
ZNF554,0.298,0.0123,1,0.4892,56.0
SMAD7,0.399,0.3398,42,0.4589,107.0
ZNF518A,0.236,0.0117,1,0.3545,61.25
FOXO3,0.343,0.2647,55,0.4763,61.5
ZNF600,0.488,0.4854,146,0.4912,129.0
FOXD4L1,0.302,0.0354,2,0.4664,52.2
PRAMEF14,0.162,0.036,19,0.3981,38.333333333333336
SMARCD2,0.477,0.4566,156,0.4973,183.5
IRF2,0.43,0.4238,101,0.4357,124.0
ASCL1,0.482,0.4808,141,0.4835,118.0
ISL1,0.424,0.3525,126,0.4945,91.75
PITX3,0.295,0.1716,35,0.4884,52.0
CCR7,0.456,0.4217,49,0.4986,93.0
CPSF4L,0.359,0.25,61,0.4463,94.75
CBX4,0.427,0.4159,105,0.4463,86.33333333333333
COMMD5,0.462,0.4186,25,0.5,59.5
TAF4B,0.457,0.4146,59,0.5,119.0
KCNIP4,0.483,0.4664,77,0.5,138.0
TAF5L,0.443,0.3308,14,0.5,81.0
ESR1,0.49,0.4839,45,0.496,115.0
HMGN2,0.401,0.2414,19,0.4756,71.0
TUT7,0.331,0.2621,25,0.3952,69.25
SUB1,0.383,0.3211,46,0.4443,119.0
ZBTB17,0.47,0.4463,36,0.4946,112.5
HDAC8,0.429,0.4155,156,0.4425,173.5
ID3,0.471,0.4603,154,0.4822,125.5
EME2,0.35,0.3313,95,0.3815,73.33333333333333
EBF1,0.472,0.4437,76,0.5,130.0
COPS2,0.457,0.4146,31,0.4987,115.5
ZNF346,0.407,0.315,133,0.4726,132.33333333333334
ZNF358,0.404,0.3445,63,0.4882,78.33333333333333
ABL1,0.401,0.25,71,0.5,70.0
ZBP1,0.369,0.2793,63,0.4589,123.5
MSC,0.425,0.3796,110,0.4701,116.0
WBP2NL,0.369,0.2678,75,0.4698,111.0
NUPR1,0.356,0.2419,103,0.4286,113.0
PIAS3,0.421,0.3539,47,0.4891,119.5
MAPK8IP1,0.489,0.478,37,0.5,114.5
TCEAL2,0.478,0.464,111,0.4917,146.5
SSX2,0.252,0.0459,1,0.368,95.33333333333333
PINK1,0.492,0.4858,67,0.4986,121.0
GATA2,0.446,0.3911,33,0.5,108.5
BAZ2A,0.386,0.2921,30,0.4808,115.5
SOX11,0.33,0.13,40,0.4557,71.66666666666667
MAGED1,0.464,0.4517,127,0.4758,160.5
RNF111,0.305,0.1358,52,0.4119,81.0
ZNF707,0.337,0.1648,37,0.4268,26.75
ZNF148,0.391,0.2814,22,0.5,111.0
MED27,0.418,0.3184,95,0.4892,132.33333333333334
CFAP20,0.404,0.3747,104,0.4379,71.0
HOXC4,0.488,0.4783,32,0.4973,113.0
FBXW7,0.443,0.3911,38,0.4946,124.5
ZNF202,0.319,0.129,47,0.4377,82.33333333333333
HOXC13,0.382,0.3187,20,0.4682,51.2
FOSL2,0.411,0.383,110,0.4386,152.5
RNASEL,0.425,0.3836,115,0.4671,128.5
PRAMEF2,0.328,0.1537,39,0.4348,74.33333333333333
NR3C1,0.369,0.2883,71,0.4942,91.25
ZFP92,0.325,0.2799,100,0.3692,99.5
ZNF517,0.396,0.308,85,0.4832,79.5
YEATS4,0.438,0.3807,30,0.4946,114.0
ATF6,0.452,0.4285,113,0.476,147.0
GTF3C2,0.447,0.3968,20,0.4973,112.0
FOXP1,0.499,0.4973,82,0.5,143.0
FLNA,0.295,0.1314,43,0.4785,63.25
ZNF23,0.259,0.0247,1,0.3992,60.8
RPRD1A,0.434,0.404,29,0.455,136.66666666666666
BPNT1,0.38,0.2291,31,0.4865,79.25
PMF1,0.423,0.3989,161,0.4463,179.5
ZC3H7A,0.299,0.0172,2,0.5,77.33333333333333
NFATC3,0.444,0.4157,25,0.4632,84.66666666666667
PTOV1,0.434,0.4146,67,0.4798,93.2
ZFP36,0.289,0.1583,31,0.4217,88.0
TEAD1,0.453,0.4119,42,0.4946,123.5
ZNF410,0.465,0.4257,26,0.4946,141.33333333333334
ZFP28,0.359,0.1853,58,0.4976,57.25
CDK13,0.321,0.221,56,0.4225,56.0
ENG,0.455,0.4102,74,0.5,111.25
ATOH8,0.301,0.1607,56,0.4225,75.33333333333333
TFB2M,0.437,0.3937,70,0.4798,69.25
ZFP3,0.41,0.3356,194,0.4849,125.0
ZFAND3,0.452,0.4263,91,0.4767,128.0
ZNF99,0.444,0.3965,156,0.4851,111.0
PRAP1,0.362,0.2886,82,0.4583,87.0
GTF2IRD2B,0.394,0.2787,74,0.4544,140.75
SKI,0.174,0.0048,2,0.4023,61.0
KLHL36,0.361,0.2413,85,0.4945,74.0
KLHL28,0.433,0.3952,108,0.4701,160.0
NOTO,0.296,0.04,26,0.438,49.8
GCM1,0.492,0.4839,31,0.5,112.5
AKIRIN1,0.322,0.1184,31,0.4973,49.2
NCOA1,0.408,0.3047,42,0.481,91.66666666666667
CBFA2T3,0.389,0.3527,140,0.4217,123.0
CENPT,0.297,0.1558,62,0.3915,83.0
ELP3,0.491,0.4837,48,0.4973,120.0
CTBP1,0.458,0.4266,107,0.4894,138.5
GATAD2A,0.332,0.1607,70,0.4251,70.0
SETBP1,0.432,0.3125,90,0.4945,142.2
PARK7,0.423,0.3528,114,0.4731,72.75
MLX,0.441,0.3604,60,0.5,149.33333333333334
KLHL13,0.434,0.4058,33,0.4701,87.25
PTTG1,0.285,0.1607,66,0.4093,113.0
BARX1,0.315,0.2273,69,0.4034,104.0
LANCL2,0.453,0.4157,115,0.5,86.33333333333333
TGFB1,0.44,0.3539,67,0.4836,127.66666666666667
INSR,0.492,0.4846,68,0.4986,116.0
ZNF283,0.461,0.3985,110,0.4917,111.6
ZNF320,0.42,0.3886,3,0.4624,138.5
PRMT3,0.497,0.4973,62,0.4973,123.5
JUN,0.315,0.2631,84,0.3764,63.5
PHRF1,0.301,0.1591,58,0.4453,65.0
PHF19,0.45,0.4198,188,0.4933,131.33333333333334
ZNF596,0.468,0.3964,143,0.5,83.8
CSNK2A1,0.497,0.4973,200,0.4973,204.0
ZNF761,0.485,0.4708,151,0.5,95.0
ZNF852,0.445,0.4111,43,0.4791,98.5
ISX,0.393,0.3613,44,0.424,110.5
DNTTIP1,0.471,0.4444,43,0.4972,116.0
FOXC1,0.437,0.3918,21,0.4973,69.66666666666667
TNP1,0.49,0.4863,110,0.4931,123.5
ZBTB3,0.402,0.3305,57,0.4731,122.5
ZNF491,0.451,0.3545,139,0.4922,118.0
TCP10L,0.356,0.3477,111,0.3639,104.5
CRIP2,0.468,0.4552,169,0.4815,171.5
RCOR2,0.459,0.4211,40,0.4973,115.0
ATF7IP2,0.299,0.1676,53,0.4301,108.5
ZNF532,0.355,0.151,53,0.4731,63.75
KAT7,0.489,0.481,138,0.4973,169.5
IKZF5,0.442,0.4279,12,0.4666,83.33333333333333
ICE1,0.319,0.2017,62,0.4666,66.5
ZSCAN30,0.427,0.3882,132,0.4972,123.66666666666667
KLF10,0.351,0.2997,103,0.4019,142.0
SP9,0.409,0.2637,60,0.5,48.6
ILF2,0.457,0.4132,21,0.5,114.0
ZNF18,0.425,0.3667,113,0.4986,63.75
NPAS1,0.422,0.3686,66,0.4763,114.5
TERF2,0.366,0.1865,42,0.4943,63.0
TRIM8,0.408,0.3428,57,0.4731,112.0
ZNF678,0.307,0.0364,2,0.4714,73.5
SIAH1,0.417,0.3401,52,0.4674,108.33333333333333
H1-2,0.37,0.3508,75,0.3891,106.5
STRAP,0.438,0.4226,137,0.4496,124.0
CDCA7L,0.325,0.2626,104,0.3882,132.5
NCOR1,0.437,0.3937,134,0.4973,119.0
THAP7,0.396,0.3302,47,0.462,117.0
PPP2CA,0.479,0.4635,38,0.4935,119.0
ZNF227,0.486,0.4714,159,0.5,114.0
ZNF239,0.444,0.3539,176,0.5,76.33333333333333
HOXA1,0.406,0.3889,137,0.4236,126.0
ZNF384,0.42,0.3915,20,0.4671,94.33333333333333
PCBP4,0.417,0.3707,62,0.4543,111.75
CNOT6L,0.462,0.4258,39,0.4973,117.5
BCL9,0.257,0.0138,2,0.5,105.5
GRHL1,0.403,0.3232,107,0.4651,96.66666666666667
OVOL3,0.402,0.3213,15,0.4826,106.5
MTA2,0.476,0.4543,144,0.4971,128.0
DDX20,0.473,0.4517,42,0.4946,120.0
MED7,0.458,0.4442,98,0.485,85.33333333333333
ZGPAT,0.42,0.3915,120,0.4726,117.33333333333333
ZNF468,0.478,0.4701,132,0.4851,155.5
DNAJB5,0.427,0.25,27,0.4973,107.25
MRTFB,0.319,0.1818,46,0.4726,68.5
RPS27A,0.462,0.4344,11,0.4753,70.0
ZFX,0.266,0.0103,2,0.4855,100.5
NR6A1,0.495,0.4901,68,0.5,126.0
TOX,0.465,0.4377,59,0.4918,120.5
SFPQ,0.279,0.1354,10,0.35,53.5
ZNF681,0.32,0.0112,1,0.4889,50.5
TRIB1,0.371,0.1276,40,0.4891,54.0
ADNP,0.402,0.3232,164,0.4677,143.33333333333334
KMT5A,0.49,0.4798,92,0.5,126.0
ZBTB32,0.283,0.1505,51,0.4047,77.66666666666667
ZNFX1,0.411,0.333,20,0.4892,107.0
ENY2,0.287,0.0127,1,0.4846,75.0
AKNA,0.486,0.4726,60,0.5,127.0
HIF3A,0.353,0.1179,48,0.4498,102.25
TNNI2,0.473,0.4685,107,0.4771,142.5
TFDP3,0.378,0.2633,10,0.4925,15.5
DPF2,0.468,0.442,43,0.4945,120.0
RGS7,0.488,0.4756,77,0.5,131.5
BLOC1S1,0.345,0.3225,169,0.3667,157.5
PRDX5,0.461,0.4334,47,0.4888,118.5
DIDO1,0.351,0.1298,51,0.4918,95.0
IVNS1ABP,0.42,0.3398,13,0.5,112.5
MAFA,0.316,0.1415,45,0.4726,45.8
BACH2,0.292,0.1659,56,0.4182,114.0
ZC3H12A,0.367,0.1615,64,0.4825,65.5
TOP1MT,0.29,0.1725,38,0.3367,42.0
RLF,0.275,0.0138,1,0.4726,60.75
DOT1L,0.448,0.395,38,0.5,108.5
MSANTD3,0.333,0.1229,27,0.4448,85.33333333333333
PREX2,0.456,0.3478,63,0.5,56.2
WASL,0.263,0.0586,29,0.4783,64.75
RBPJL,0.328,0.1349,57,0.427,83.0
ZNF264,0.461,0.4232,45,0.4893,78.2
TULP1,0.396,0.3077,90,0.4398,97.0
RUVBL2,0.49,0.4822,38,0.4986,113.5
HES2,0.381,0.3131,43,0.4498,108.0
NUFIP1,0.353,0.1794,71,0.4769,86.0
CDK8,0.495,0.4904,67,0.5,122.5
TAF4,0.384,0.2855,25,0.4765,39.0
NKX1-2,0.373,0.1102,34,0.4942,49.4
FLII,0.41,0.3389,41,0.481,119.0
SS18L1,0.408,0.3136,18,0.4986,86.0
SRA1,0.381,0.2226,78,0.4932,67.75
ZNF571,0.492,0.4858,147,0.5,95.66666666666667
TBX1,0.353,0.1402,38,0.4946,78.8
ZNF786,0.407,0.3859,131,0.4423,81.33333333333333
TERB1,0.463,0.429,43,0.4973,117.0
CARHSP1,0.377,0.1851,52,0.4947,63.25
ZNF625,0.416,0.3667,136,0.4791,95.0
PSMC2,0.448,0.3968,39,0.5,117.5
IGHMBP2,0.494,0.4876,194,0.5,196.5
ZNF45,0.481,0.4744,145,0.4872,149.5
ZNF705G,0.454,0.4183,101,0.4889,135.5
THAP11,0.447,0.3915,58,0.4835,83.66666666666667
ZNF80,0.26,0.0242,1,0.4967,28.5
CCNH,0.449,0.4018,27,0.4959,113.5
KAT6A,0.46,0.4441,149,0.4902,139.66666666666666
RNF2,0.5,0.5,204,0.5,108.0
FOXA3,0.363,0.2833,56,0.443,115.5
ZNF417,0.4,0.3967,168,0.4043,158.0
TRIM39,0.433,0.3167,70,0.4973,135.33333333333334
TRIM27,0.421,0.3362,11,0.4813,72.0
JUP,0.335,0.1607,57,0.433,81.0
SETD2,0.308,0.1903,63,0.4251,115.0
CCNT1,0.484,0.4726,29,0.4959,113.5
DNMT3L,0.37,0.3232,80,0.4437,79.33333333333333
ASH1L,0.345,0.0177,6,0.4947,60.75
HOXB13,0.451,0.4163,79,0.4852,125.0
ZNF302,0.454,0.3822,115,0.491,128.0
CENPS,0.375,0.316,97,0.4892,84.0
ELP4,0.446,0.4198,186,0.4731,189.0
NCOA6,0.492,0.4863,197,0.4973,184.0
NR2C1,0.357,0.2218,37,0.4505,88.5
PLEK,0.423,0.2905,15,0.4918,85.66666666666667
TRAF6,0.383,0.2957,12,0.4726,64.25
SCML1,0.341,0.219,76,0.4919,104.0
H3-3A,0.485,0.476,176,0.4947,189.0
RBM14,0.439,0.381,15,0.4973,110.0
DMC1,0.5,0.5,48,0.5,119.0
CRY2,0.435,0.3915,155,0.4808,116.5
PRAMEF5,0.267,0.0081,1,0.4671,74.5
ZNF205,0.207,0.0166,1,0.387,59.5
