gene type,max seq len,min seq len,mean seq len,median seq len,wmc similarity score,species represented
EME2,1287,1125,1143.8454545454545,1140.0,0.17482,366
CELF3,1452,1239,1322.9445812807883,1299.0,0.29458,439
ASCC2,2331,2031,2166.061381074169,2187.0,0.21533,432
NRF1,1626,1506,1538.315659679408,1512,0.32586,434
APBB1,2379,1344,1654.2170201046545,1464,0.14432,442
ZNF831,5709,5031,5133.025139664805,5121.0,0.1223,387
ZNF844,2271,1980,2023.7541528239203,2007.0,0.12441,236
ZPR1,1422,1371,1380.980343980344,1380,0.26042,441
NR3C2,2994,2595,2841.9793388429753,2952.0,0.22155,438
ZNF576,591,498,511.66204986149586,510,0.27492,380
PROX1,2271,2196,2215.3234200743495,2214,0.33645,441
ZNF124,1224,855,980.5532159264931,1050.0,0.10952,405
SIX6,747,735,738.1021897810219,738,0.34348,440
MED31,396,393,393.00773195876286,393.0,0.35253,417
ZBTB22,1986,1890,1912.9234828496042,1911,0.2412,409
ZNF503,2637,1932,1954.5714285714287,1947.0,0.14602,367
CRY1,1818,1749,1761.6439024390245,1761.0,0.33092,441
RUVBL2,1443,1383,1389.4175257731958,1389.0,0.33105,415
MEOX1,789,756,762.4175257731958,762.0,0.30825,423
RBM14,2055,1992,2008.7037037037037,2007,0.33923,427
PSMC3,1338,1188,1259.5248756218905,1269.0,0.18998,436
MECP2,1686,1440,1483.8538350217077,1494,0.21268,374
BEND6,894,831,838.2093023255813,837,0.30747,415
GATA2,1629,1395,1421.8872483221476,1440,0.25773,405
KLF7,912,795,851.0128102481985,828,0.16963,449
BTG1,516,510,513.1055718475073,513,0.35809,376
ZFP30,2103,1548,1597.1722122302158,1602.0,0.11942,400
SHOX,1035,861,881.0112359550562,876,0.20162,271
ILF2,1179,1050,1112.9281210592685,1065,0.27191,430
ZNF75D,1782,1227,1384.462093862816,1281,0.16723,384
ZNF280A,1731,1620,1645.7757847533633,1647,0.15515,221
NFATC3,3285,3135,3195.109385550304,3204,0.28556,394
GLI3,5952,4563,4680.802023121388,4740.0,0.13475,410
ZNF256,2208,1866,1905.0236706689536,1893,0.12365,389
ZNF223,1872,255,652.8311688311688,276,0.12415,389
NR1H4,1515,1272,1405.9127819548871,1428,0.17311,430
TRIM24,3204,3036,3102.4166666666665,3099.0,0.23538,424
ZNF671,1944,1599,1654.0164217804668,1629.0,0.09974,361
RUNX2,1719,1446,1532.9359708485165,1521,0.19458,438
ZSCAN25,1719,1386,1518.5190735694823,1479.0,0.21852,400
FOXO3,2139,2013,2023.1983240223465,2019.0,0.30418,384
NOTCH4,6087,5994,6023.383783783784,6022.5,0.21206,392
AFF4,3549,3480,3492.6666666666665,3492.0,0.27199,421
MYF6,735,723,726.2335766423357,726,0.34269,440
ZNF250,2019,1659,1690.083467094703,1683.0,0.10071,396
NPM1,1014,774,869.9005524861878,885,0.2685,433
TXLNG,1641,1581,1589.9860465116278,1590.0,0.27305,400
TP53BP2,3447,3009,3211.3574144486693,3060,0.18549,432
ZNF677,2052,1746,1810.2027300303337,1782.0,0.12513,323
TRIM22,1755,1479,1518.8129770992366,1506.0,0.14769,313
NR1H2,1440,1245,1309.1478260869565,1290.0,0.21816,417
ZNF225,2490,270,1017.9450317124736,282.0,0.08852,374
SOX30,2538,1341,1721.0323450134772,1548,0.15116,443
ZSCAN23,1233,1164,1173.0385852090033,1167,0.23717,311
MLLT6,3426,3279,3300.994974874372,3288.0,0.19934,425
AFF2,4164,3816,3877.6930693069307,3840,0.15906,402
NOTCH2,7983,7401,7415.977386934674,7413.0,0.29867,426
BCL9,4452,4053,4204.325938566553,4278.0,0.25923,427
CRK,939,906,912.927135678392,912.0,0.3452,430
ZNF570,2061,1602,1714.0635208711433,1722,0.1031,403
UHRF1,2742,2379,2488.722371967655,2454,0.11375,415
GMCL1,1584,1539,1544.3937823834196,1542.0,0.30419,417
ZBTB24,2139,2088,2095.916230366492,2094.0,0.23839,416
TET1,7362,6408,6466.196675900277,6441,0.14995,388
ZNF157,1659,1506,1526.2092555331992,1518,0.22938,335
KCNIP1,795,564,660.6667697063369,675,0.12765,440
APTX,1071,858,937.5913312693499,909.0,0.18059,426
RASD1,873,837,843.3660477453581,843,0.33212,415
SAP30BP,960,873,900.2988792029888,891,0.2689,437
MZF1,2508,2193,2210.4754601226996,2208.0,0.21541,349
PSMC5,1224,1188,1206.0325301204819,1209.0,0.2607,445
SAMD4B,2130,2073,2082.3051470588234,2082.0,0.29673,440
GATA4,1374,1314,1331.2657973921766,1329,0.24391,370
ASH2L,1905,1584,1742.635687732342,1605,0.23768,435
OVOL3,735,567,615.3769841269841,621.0,0.19455,415
COMMD1,576,564,570.1216216216217,570.0,0.32606,394
NANOG,1062,861,911.073275862069,918.0,0.15708,359
MGMT,774,621,681.6990291262136,660,0.16731,400
ZFP36,1137,966,995.2269230769231,996.0,0.19876,422
KLF1,1263,1086,1105.4536082474226,1101.0,0.17404,421
BARX1,783,759,763.4584615384615,762,0.27227,368
PCSK4,2427,2256,2294.5775862068967,2289.0,0.2174,385
MICALL1,2925,2310,2594.7534935718277,2604,0.16886,411
EMX2,771,753,757.9863760217984,759,0.28243,395
STAT1,2427,2127,2249.177453769559,2250.0,0.27817,437
KIAA0040,537,294,330.4792899408284,297,0.16651,442
RNF187,762,690,706.9464882943143,705,0.28618,325
RORB,1428,1374,1393.5354037267082,1407,0.26273,432
EHF,1029,825,899.5225594749795,900,0.207,442
LYL1,1029,834,847.3801652892562,840,0.24397,398
PRAMEF17,1614,1413,1457.8304794520548,1449.0,0.13331,165
ZHX2,2649,2505,2516.2305699481867,2514.0,0.26802,414
IRX6,1440,1335,1346.4,1341,0.24506,423
SETDB1,4053,3870,3893.955223880597,3888.0,0.20162,430
PAX6,1527,1143,1257.9612788632328,1248,0.19264,438
RGS14,1824,1698,1714.3477157360405,1713.0,0.24266,426
CCR7,1140,1113,1126.7506142506143,1125.0,0.24311,440
ZNF837,1701,1581,1614.9761904761904,1611.0,0.16318,108
KANK1,4107,3579,3835.775125628141,4054.5,0.16388,419
SMYD1,1479,1425,1450.7727272727273,1467.0,0.2907,410
CDKN1C,1314,369,723.3196308724832,543.0,0.15326,357
SSBP4,1230,1086,1124.0557768924302,1149,0.23824,406
ZNF394,2007,483,804.0264705882353,504.0,0.10892,420
PBX1,1317,969,1101.6682105263158,1035,0.25243,430
TRIP11,6048,5934,5944.763358778626,5943,0.21379,419
PRB3,1311,915,1045.5342019543973,1041,0.12845,108
SIX2,909,873,886.8877284595301,888,0.32914,412
ZNF572,2091,1584,1602.802139037433,1593.0,0.1919,393
AHCTF1,7173,6798,6922.469645868466,6891.0,0.13133,425
ZBTB26,1326,1311,1322.9635922330096,1323.0,0.35875,440
ZNF507,2904,2859,2873.378048780488,2874.0,0.22531,439
ZNF155,2139,1608,1711.7767762460232,1662.0,0.12372,354
TET3,5871,5103,5271.789904502047,5385,0.15536,405
KCNIP3,840,687,743.5479094076655,768.0,0.23106,433
ZNF598,2820,2547,2663.568677792041,2703,0.15849,424
WDR5,1005,996,1002.069587628866,1002.0,0.33387,417
KEAP1,1881,1863,1871.9596774193549,1872.0,0.33864,399
RBM10,3102,2544,2725.4218009478673,2601,0.17111,405
GATA6,1875,1758,1791.1725239616615,1788,0.21868,353
OVOL1,807,774,800.9777227722773,801.0,0.34187,439
MEGF8,8826,1311,6082.600356824264,8343,0.19164,431
COMMD3,618,582,585.1179361179361,585,0.33389,437
ZFP41,648,576,595.1382228490833,594,0.22423,356
PPARA,1410,1398,1404.1174934725848,1404,0.32281,411
SUV39H2,1383,1047,1140.3321033210332,1203,0.24403,431
KLF3,1053,1032,1036.3805970149253,1035.0,0.28376,434
SKIL,2076,1911,1990.125321888412,1995,0.17685,418
NPM3,555,531,534.9343065693431,534,0.30435,438
ZNF600,2901,2151,2311.0144284128746,2364,0.07745,263
ZFHX2,9054,7716,7742.025,7725.0,0.17541,387
ZNF675,2049,1692,1727.3858075040782,1716.0,0.10841,221
ZNF227,2727,2241,2365.0455445544553,2397.0,0.10799,344
CASZ1,5550,5271,5314.372602739726,5304,0.22364,400
ZSCAN21,1569,1308,1394.3501805054152,1392,0.13733,413
CAMTA1,5211,5004,5023.425414364641,5019.0,0.24876,398
HIF3A,2088,1782,1901.8736413043478,1869.0,0.18612,413
CHAF1B,1815,1674,1697.8062015503876,1698,0.24191,416
SON,9423,6321,6939.431309904154,6957,0.1707,337
FOXR1,945,873,886.2868632707775,879,0.20231,408
TCEA2,918,816,859.558968058968,849.0,0.21351,439
SMYD3,1341,1104,1202.146408839779,1143.0,0.21409,388
MEAF6,681,501,570.9853461344113,573,0.25233,431
ARRB1,1272,1224,1242.0489949748744,1245.0,0.32603,433
ZNF396,1107,996,1022.2337662337662,1020.0,0.25414,247
PRMT6,1209,1122,1127.0862944162436,1125.0,0.27967,418
BHLHA9,768,705,715.6194690265487,714,0.22991,372
PBX3,1398,1047,1199.2255685310388,1080,0.25133,439
MYRF,3744,3321,3399.400513478819,3444,0.20125,421
TRIP13,1338,1284,1296.6227848101266,1296,0.31955,423
HOXB13,888,852,854.7060301507538,855.0,0.24444,438
STAT3,2568,2004,2245.436279196831,2280,0.2353,439
CALCOCO1,2103,1809,1968.8576755748913,2058,0.25978,435
PCSK6,3048,2862,2913.614624505929,2910.0,0.17214,412
PRAMEF1,1563,1416,1450.5217391304348,1449.0,0.14313,195
ERG,1485,1155,1366.3863885839737,1386,0.18503,423
AEBP1,3723,3471,3531.630319148936,3531.0,0.14023,411
AP5Z1,2469,2412,2425.1338582677167,2424,0.25075,412
IRX4,1806,1557,1615.4979591836734,1632,0.17419,402
CCND1,900,882,887.171875,888.0,0.33376,418
ZNF429,2364,1740,1891.2994321115127,1812,0.10733,268
PAX4,1137,1023,1053.5724770642203,1050,0.22156,442
GRM6,2682,2625,2636.6310160427806,2634.0,0.20397,403
PADI2,2049,1986,1995.6059850374065,1995,0.32833,433
ZNF835,2115,1608,1637.9667896678966,1632,0.11538,239
CREBL2,375,357,361.13065326633165,360.0,0.3347,433
ZSCAN5C,1623,1473,1499.4197080291972,1494.0,0.17123,220
KAT6B,6375,5334,5752.454697986577,5673.0,0.19124,433
SUPT3H,1047,759,892.3957016434892,864.0,0.14651,433
PFN1,429,417,420.1649214659686,420.0,0.34218,411
LIMA1,2370,1371,1819.2854038391888,1803,0.17354,438
RB1CC1,4800,4755,4778.677749360614,4782.0,0.31811,425
BAG1,1185,687,855.5538461538462,714.0,0.12748,432
HOXB2,1125,1065,1074.1764705882354,1071,0.27076,395
CHEK2,1884,1350,1573.5261213720316,1563,0.09902,433
PRDM16,3936,3525,3673.590336134454,3769.5,0.20995,394
UBR2,5355,5238,5269.722506393862,5265.0,0.29602,419
PRAMEF19,1581,1428,1466.589692765114,1464,0.13321,251
ANKRD30A,4737,4023,4246.058823529412,4206.0,0.10323,14
PAX8,1455,1197,1324.6863905325445,1371,0.27337,438
SAP130,3270,3135,3183.967067764408,3171,0.21874,430
ZNF425,2472,2253,2277.800675675676,2259.0,0.16696,171
POLE4,393,348,353.0517711171662,351,0.25198,393
TEAD3,1386,1305,1312.7698598130842,1311.0,0.23721,426
ZNF839,2991,2427,2646.441428571429,2530.5,0.10291,384
DMRTA2,1713,1617,1628.429003021148,1626,0.29759,370
PDX1,903,846,854.9673913043479,852.0,0.23659,404
NFYB,666,615,623.2928311057108,624,0.2303,435
PIR,930,864,871.455764075067,870,0.30873,404
KLF12,1242,1194,1206.2219387755101,1206.0,0.33429,424
TAB1,1572,1380,1451.7429667519182,1507.5,0.32016,425
NR2F1,1695,1104,1190.6624605678232,1194,0.16377,367
ZNF594,2592,2415,2433.8282208588957,2424,0.20573,157
ZNF23,2403,1746,1917.459375,1944.0,0.09381,413
HEY1,1062,795,862.2819383259912,849,0.16896,429
MBD3L2,795,618,639.0197802197803,636,0.16635,273
KDM4D,1644,1551,1578.3629032258063,1575.0,0.25443,247
HPCA,768,576,579.5204081632653,579.0,0.26984,424
KDM3A,4062,3963,3973.4962025316454,3972,0.233,430
SIRT5,1044,753,887.8527746319365,900,0.25478,440
PYHIN1,1548,1350,1433.2595596755505,1431,0.15924,164
GLIS3,2826,2325,2498.839483394834,2337.0,0.17215,420
BATF,378,372,375.162962962963,375,0.33491,434
TBX5,1590,1398,1480.354219948849,1494.0,0.25434,419
ZNF679,1569,1224,1259.9383095206304,1254,0.09995,415
ZBP1,1395,741,1049.4254143646408,1080.0,0.13271,407
HSFX1,1422,1263,1299.0616438356165,1305.0,0.15234,105
ERCC6,4659,4320,4419.024064171123,4482.0,0.16963,431
HOXD11,1161,1005,1021.393220338983,1017,0.23508,328
FOXA1,1563,1410,1419.1546391752577,1416.0,0.26343,422
CXXC4,1221,1089,1130.7052631578947,1128,0.19873,312
NHLH2,432,402,405.18947368421055,405.0,0.33511,413
RBL1,3312,3027,3128.812743823147,3195,0.3188,418
BHLHE22,1401,1104,1154.2056074766356,1143,0.21769,359
CBLL1,1572,1464,1473.9099876695439,1473,0.299,437
WTIP,1443,1278,1302.69140625,1296.0,0.17123,297
STAG1,3849,3654,3721.60843373494,3748.5,0.32287,421
PRDM14,1830,1713,1730.66318537859,1722,0.18537,415
RNF114,723,612,656.9693094629156,684.0,0.23386,436
PATZ1,2169,1917,1994.091891891892,2016.0,0.3072,396
TARDBP,1443,1236,1242.4779411764705,1242.0,0.2996,433
HNRNPD,1182,912,1000.1017915309446,1008.0,0.21771,445
PAK6,2079,1893,1977.4436090225563,1986.0,0.29364,427
TEAD1,1296,984,1111.3466748768474,1074.0,0.20463,441
ARID1A,7257,5691,6132.038314176245,5922.0,0.13758,437
TESC,687,558,601.7049808429118,639,0.27313,424
SHPRH,5217,4971,5045.952618453865,5058,0.19727,428
TCP10L,723,261,446.0984455958549,405.0,0.11909,275
BTBD2,1710,1545,1583.8785046728972,1575,0.20273,344
CENPB,2034,1797,1818.1418918918919,1818.0,0.24893,332
VHL,714,513,593.6991279069767,567.0,0.24305,370
ZSCAN5A,1629,1476,1498.0356472795497,1494,0.16854,235
MATR3,2922,2379,2540.94109947644,2547.0,0.2958,422
ANP32A,768,744,748.0470297029703,747.0,0.3393,436
MXD4,675,621,627.3083333333333,627.0,0.32078,389
PRMT8,1221,1149,1170.203324808184,1182.0,0.2299,422
PCNA,786,777,783.0300751879699,783,0.35191,424
RELL2,963,906,910.4233576642335,909,0.31747,442
ZNF398,2166,1920,1938.3984375,1929.0,0.23127,391
SOX2,1065,951,967.4260869565218,960,0.17293,381
ZNF720,627,345,456.71707870837537,405.0,0.10045,431
CAMK2A,1755,1257,1464.9104067881208,1434,0.23984,436
ZFX,2808,2262,2411.1032693305656,2418,0.17172,405
ZNF691,1014,849,910.8111769686706,924,0.12519,424
DIDO1,7521,3564,5101.742323097464,3612,0.15342,431
HSFX3,1191,990,1041.9449225473322,1032,0.15447,349
KCTD1,2946,2586,2608.092537313433,2598,0.17554,361
ZNF229,2550,2454,2473.843373493976,2475.0,0.1519,169
ZC3H13,5280,4683,4880.359848484848,4987.5,0.2069,427
HAND1,996,639,652.5761421319797,654.0,0.15397,424
SRF,1665,1518,1531.6363636363637,1530.0,0.17042,381
FOXA3,1218,1047,1059.2890625,1056.0,0.22174,417
HOXD13,1056,1017,1032.0088235294118,1029.0,0.23977,379
FBN1,8646,8586,8615.25,8613.0,0.26464,436
DYDC1,555,528,532.125,531.0,0.3072,412
KLF10,1461,1407,1429.921760391198,1440.0,0.14612,438
TAB3,2154,2049,2106.0387096774193,2070,0.26189,416
DNAJB5,1299,1038,1176.7143738433067,1146,0.21576,447
SALL4,3336,3150,3185.2311977715876,3171,0.16132,392
RBMX,1209,1164,1176.446224256293,1173,0.30133,416
ZNF596,1695,1506,1533.8829039812647,1527,0.13074,328
DVL2,2274,2181,2204.339045287638,2208,0.23782,435
HMG20B,978,948,953.1923076923077,951.0,0.30347,394
STAT5A,2427,1965,2278.521489971347,2295,0.19056,362
DDN,2298,2124,2147.130081300813,2139,0.24531,399
PHB,840,648,763.6502590673575,816.0,0.27667,429
GLIS1,2907,1851,2139.8021390374333,2310.0,0.14942,407
SIRT7,1218,1185,1201.5777202072538,1200.0,0.29632,419
KLF16,909,753,763.672131147541,759.0,0.20366,285
SALL2,3336,2709,2938.583898305085,3021.0,0.14663,434
NSD3,4359,4164,4274.300826446281,4308.0,0.23923,431
CRAMP1,3990,3804,3867.860465116279,3870,0.18552,420
NFKB2,2772,2688,2703.6848635235733,2703.0,0.26879,438
SIRT1,2397,2241,2252.9472361809044,2247.0,0.20625,432
ACTL6A,1329,1161,1228.6370280146164,1284,0.24674,431
CTNND2,3714,2646,3243.2904929577467,3405.0,0.153,429
TBX1,1650,1113,1341.5557710960234,1485,0.18582,337
ZNF697,2001,1635,1661.0150602409637,1656.0,0.16146,358
TRIM28,2586,2256,2390.445692883895,2340,0.1457,430
ZNF608,4611,4530,4541.996062992126,4542.0,0.18984,422
ZFR2,3030,2802,2944.416938110749,2961,0.13497,322
BCL3,1461,1359,1364.0830860534124,1362,0.28616,368
ZC3H15,1335,1272,1278.4064039408868,1278.0,0.33672,436
ZSCAN29,2613,2556,2566.5320855614973,2565.0,0.24922,414
ERCC2,2304,2040,2161.3229813664598,2157,0.22523,416
SLC39A10,2625,2493,2502.9556135770235,2499,0.26747,416
NRBF2,1074,828,849.463601532567,861,0.18699,420
FUBP1,1980,1920,1949.0036231884058,1954.5,0.34397,439
TMEM260,2151,2118,2123.1736972704716,2121,0.31104,434
BRWD3,5490,5385,5408.57027027027,5406.0,0.32349,402
LENG9,1911,1437,1587.2962962962963,1581,0.13541,263
CEBPZ,3402,3162,3188.138613861386,3186.0,0.20686,424
CTBP1,1347,1284,1305.7360114777618,1317,0.247,382
SOX4,1626,1419,1444.64,1437.0,0.22339,342
DUXA,666,606,626.6372549019608,624.0,0.18878,304
ZNF726,2472,1833,2045.3179457587999,1926.0,0.10661,322
SIN3A,3855,3813,3822.533834586466,3822,0.30254,432
PRAMEF9,1704,1425,1465.6570680628272,1458.0,0.11413,313
GTF2E1,1500,1311,1318.1201044386423,1317,0.29946,408
HOXB6,708,666,672.6390977443609,672,0.32716,422
HSPA1B,2127,1908,1925.901098901099,1923.0,0.29588,186
PIKFYVE,6345,6264,6297.572864321608,6294.0,0.24356,427
TSHZ1,4773,3093,3194.1231393775374,3231,0.10287,402
RNF112,1914,1878,1894.5251396648046,1893.0,0.27093,390
BRPF3,3711,2610,3090.5140186915887,2838,0.23938,438
PRDM12,1119,936,1017.65625,966.0,0.33063,388
TWIST2,510,477,480.4108527131783,480,0.33379,417
PHF5A,336,327,330,330.0,0.34624,425
GNL3,1707,1599,1638.8211678832117,1647.0,0.22116,442
PPID,1119,1104,1110.0234375,1110.0,0.34265,408
ZNF454,1794,1563,1600.3054801953338,1590,0.10912,425
ZC3H12B,3036,2502,2511.152,2508,0.22011,405
MYBL2,2136,2013,2069.9065040650407,2074.5,0.19379,400
EZR,1800,1755,1760.1153846153845,1758.0,0.28354,423
KLHL21,1965,1608,1707.2503597122302,1788,0.30838,384
UTY,4425,3228,3996.537586151627,4110,0.12473,410
PABPC1L,1905,1836,1854.4644194756554,1857,0.28779,424
ZNF695,1878,1536,1579.2689635205559,1569.0,0.08788,315
TBX3,2418,2166,2217.1107954545455,2229.0,0.2226,390
ZFAND6,675,525,585.4605809128631,588,0.25372,431
YOD1,1068,906,979.005,936.0,0.20274,438
ESR1,1833,1773,1788.4846153846154,1785.0,0.24616,418
VAX1,1023,552,767.1829971181556,597.0,0.29127,424
MAMSTR,1374,933,1111.6729986431478,1245,0.14698,403
RNASE2,570,477,488.3413043478261,486.0,0.16256,304
FUBP3,1728,1707,1716.6176470588234,1716.0,0.32293,438
FOXF2,1536,1332,1369.7436823104692,1362,0.15864,318
SAP18,558,456,487.8307086614173,507.0,0.24883,412
ZNF578,2058,1758,1816.85625,1797.0,0.09122,300
DNAJB1,1068,813,889.520942408377,822.0,0.24204,433
KLF14,1047,969,984.0586319218241,987,0.26447,344
ZNF592,3981,3801,3823.371900826446,3825,0.21851,385
NSD1,8316,7278,7712.66015625,8086.5,0.1705,414
TBPL2,1215,1125,1145.8010204081634,1143.0,0.11687,419
ZNF25,1587,1359,1380.441,1371.0,0.1567,416
MBD3L4,690,618,641.1117824773414,639,0.18417,221
FOSL1,855,705,767.3579474342929,813,0.20048,435
KLF9,762,729,732.233870967742,732.0,0.32872,404
KDM4B,3480,3276,3357.9,3382.5,0.19816,404
PIK3R1,2181,2166,2172.7609756097563,2172.0,0.2875,442
SIRT3,1266,1008,1114.2176278563657,1068,0.14871,397
COMMD9,621,549,574.4200743494424,591,0.28214,435
HOXB4,810,750,754.3660714285714,753.0,0.30905,375
TSHZ3,4587,3240,3254.114503816794,3243,0.1935,426
UBR4,15597,15513,15551.775561097256,15549,0.27917,437
PRDM10,3552,3057,3303.330184804928,3345,0.12583,438
NEUROG2,993,813,822.6864406779661,816.0,0.23223,387
HEYL,1023,978,984.4871134020618,984.0,0.31744,418
BRPF1,3930,3345,3597.6347197106693,3642.0,0.25339,446
ATOH8,1020,963,973.8951841359774,969,0.2128,383
ZNF423,4311,3498,3716.9897680763984,3675.0,0.15839,407
BTBD6,1650,1227,1423.2700729927008,1461.0,0.15477,403
BRWD1,7134,6597,6821.704584040747,6837.0,0.24719,427
SLC22A4,1674,1644,1654.3028571428572,1653.0,0.31732,376
ASF1A,651,612,612.2408759124088,612,0.33927,440
BRCA2,10839,10251,10411.884120171673,10404,0.12754,385
CENPF,10215,9324,9431.022284122562,9354,0.19896,383
ANKAR,4374,4293,4303.819407008086,4302.0,0.31957,417
DMTF1,2313,2013,2128.8317073170733,2076.0,0.23124,447
TRAK2,2772,2739,2745.585,2745.0,0.30663,426
ANP32E,843,657,717.8793103448276,681.0,0.23804,434
ZNF724,2115,1845,1887.509977827051,1872,0.12439,180
SOX6,2523,2397,2431.2277847309138,2424.0,0.21605,431
CDYL2,1572,1512,1521.6875,1521.0,0.24928,421
MAPK11,1116,1089,1094.512,1092,0.29963,395
SMARCAL1,3015,2862,2885.598971722365,2883,0.195,420
FOXS1,1248,984,999.6683544303797,990,0.20866,427
RRP1B,2394,2265,2284.0162601626016,2280,0.22697,392
RB1,2841,2757,2786.8432835820895,2784.0,0.2227,429
FOXI2,1173,948,960.5398230088496,954,0.20635,372
CRABP2,417,411,414.0513447432763,414,0.34404,440
ZSCAN31,1356,1212,1232.9909365558913,1221,0.21619,275
NPAS1,1968,1770,1790.0630136986301,1782,0.21312,398
ZNF665,2430,1821,1991.204899777283,2025,0.08624,349
ZNF610,1584,1248,1336.5643790172091,1308,0.08221,384
SETBP1,5271,576,2668.118579581484,765,0.24671,449
TCEAL3,738,588,614.7159253945481,603,0.18399,331
NLRP3,3165,2760,2964.892188213796,2952,0.17555,389
COPS2,1374,1134,1271.5849212924606,1329,0.23766,439
HIC2,2337,1845,1854.8119658119658,1854,0.21318,380
LTN1,5535,5289,5373.062418725618,5424,0.18093,415
CCNH,987,963,969.3308823529412,969.0,0.34182,442
RBBP8,2790,2601,2681.4978204010463,2697,0.22544,413
NELFCD,1824,1737,1772.3941248470012,1773,0.17276,442
MED25,2517,2229,2319.470663265306,2361.0,0.27656,426
ZNF517,1596,1473,1505.5504322766571,1503,0.1162,178
CBX4,1902,1671,1689.795081967213,1680.0,0.25766,386
ZNF562,1599,1056,1210.2651905252317,1278.0,0.09009,225
ZBTB43,1494,1395,1409.6326530612246,1401.0,0.32843,425
PHB2,930,783,851.633106856084,894,0.30009,444
ZNF850,3591,3168,3246.190243902439,3267,0.11881,46
NKX6-2,873,822,832.0095238095238,831,0.31691,346
HMGB1,675,471,553.7193675889328,480,0.33315,417
HOMEZ,1806,1314,1549.5276381909548,1653.0,0.17511,438
ZNF439,1731,1488,1537.5580682253737,1521,0.10553,304
MLX,954,642,755.8344155844156,732.0,0.21222,446
UBTFL1,1332,1170,1191.5681818181818,1182.0,0.20711,197
CCNE1,1302,1047,1158.8641571194762,1185.0,0.16141,436
KHDRBS3,1056,1026,1038.1443037974684,1038,0.3312,419
PTTG1,672,603,607.9548872180451,606,0.28498,429
PNRC1,1014,972,984.0824175824176,981.0,0.25981,379
RRP8,1458,1368,1377.472906403941,1374.0,0.18133,436
IKZF4,1908,1614,1689.439393939394,1752.0,0.2335,436
ZMAT4,726,678,687.4591836734694,687.0,0.32048,417
MYC,1440,1311,1349.814563928874,1362,0.17611,420
TFCP2,1566,1263,1379.0858794384806,1353,0.26766,426
SSX1,669,555,597.1348314606741,609,0.17932,291
ZBTB6,1341,1269,1273.848410757946,1272,0.29245,439
ZNF319,1848,1743,1757.409574468085,1755.0,0.22048,402
DLX6,1020,492,680.2238605898124,540.0,0.15213,442
SAFB2,3051,2853,2886.485639686684,2871,0.2066,374
TBL1Y,1632,1566,1580.1536312849162,1578.0,0.18615,377
NR0B1,1548,1410,1419.4335260115606,1413.0,0.19463,383
TGIF1,873,750,810.0267857142857,816.0,0.19151,441
THRAP3,2997,2727,2813.3969658659926,2865,0.28565,419
MAP2K3,1044,948,1000.3622448979592,1029.0,0.23958,429
RIN3,3408,2742,2893.735649546828,2818.5,0.14129,380
MAPK9,1314,1011,1177.0690909090908,1149,0.29691,437
TCEAL1,579,474,485.51830985915495,477,0.21404,383
HCK,1635,1506,1546.6506165590135,1530,0.17396,434
SLC6A3,1914,1854,1861.1420454545455,1860.0,0.31255,386
SMARCA1,3273,3150,3184.31167690957,3174,0.25154,410
BACH2,2736,2514,2530.5114503816794,2526,0.23935,415
FARSA,1725,1425,1534.6828046744574,1524.0,0.19198,433
ZNF48,1956,1482,1683.8850415512466,1519.5,0.18396,395
RNF20,3000,2919,2926.4152334152336,2925,0.31973,434
MNX1,1275,564,853.2910798122066,600,0.1793,401
MED27,1062,822,913.0405522001726,933,0.28217,428
ZBTB34,1581,1497,1508.021978021978,1512,0.21861,442
CBX6,1602,1182,1222.85140562249,1236,0.18398,404
ZBTB41,2892,2724,2733.077319587629,2730.0,0.25689,415
ZNF560,2562,2361,2413.028818443804,2385,0.11946,176
ZNF132,2736,2106,2157.9484052532835,2154.0,0.0784,323
POU5F1,1128,1056,1081.6815789473685,1080.0,0.27709,412
ZNF235,2475,243,468.8904960301863,264,0.11853,436
NPAS3,3078,2691,2774.4103563474387,2772.0,0.15954,394
NR1I2,1500,1188,1308.2692307692307,1302.0,0.17048,404
TRIM32,1974,1953,1960.7121212121212,1959.0,0.24695,419
ZNF667,1995,1815,1849.549107142857,1830.0,0.18949,386
TRIM47,1962,1911,1924.5722891566265,1926.0,0.19039,364
OTP,1011,972,975.2027027027027,975.0,0.34155,394
TCF3,2385,1797,1954.8852367688023,1968,0.14778,409
SSX3,699,507,587.6470588235294,588,0.14923,346
BARHL1,1140,978,981.864553314121,981,0.2975,380
ZNF749,2655,2322,2395.6261180679785,2376,0.08983,214
CHD2,5568,5199,5355.598503740648,5301.0,0.31716,432
ZBTB4,3348,3036,3057.3171428571427,3048.0,0.21669,389
CHMP1A,852,561,628.4961489088575,588.0,0.18449,435
DLX4,762,498,612.7779310344828,528,0.19679,409
ZNF384,1932,1548,1711.4225232853514,1737,0.21556,434
SAP30L,582,546,551.2188365650969,549,0.29706,381
ZC3H7A,2952,2907,2914.8387096774195,2913,0.26854,432
RIT2,663,648,651.7342657342657,651.0,0.31768,302
CEBPB,1101,1035,1042.3475409836065,1041,0.26356,330
MAP2K1,1209,1173,1180.308056872038,1179.0,0.32825,420
RIOK2,1758,1419,1544.1898089171975,1479,0.31108,424
ZNF852,2043,1620,1633.9946524064171,1629,0.14878,315
ZNF827,4161,3231,3520.7954735959765,3258,0.25779,429
HMGB3,654,585,605.2676056338029,603.0,0.30912,424
CITED2,954,807,826.8048128342245,825.0,0.18675,405
